betweenness,degree,eigenvector_centrality,node,pagerank,x,y
231.071428571,16,0.952132366477,0,0.0969972853883,0.400052179942,0.273002008587
28.4785714286,9,0.71233513912,1,0.0528769240611,0.260994258145,0.365732505579
75.8507936508,10,0.849554200465,2,0.0570785094885,0.352812910506,0.517198631213
6.2880952381,6,0.565614306651,3,0.0358598577864,0.106319583225,0.384094363588
0.333333333333,3,0.203471480817,4,0.0219779523646,0.522702314146,0.0215346158432
15.8333333333,4,0.212883828873,5,0.0291111546784,0.749807437048,0.14843213459
15.8333333333,4,0.212883828873,6,0.0291111546784,0.698575583133,0.0570032759103
0.0,4,0.457890933763,7,0.0244904970353,0.169559261806,0.314087647725
29.5293650794,5,0.609068441934,8,0.029766056081,0.414309766399,0.58424508219
0.447619047619,2,0.274998115492,9,0.014309397129,0.137081827682,0.701757967461
0.333333333333,3,0.203471480817,10,0.0219779523646,0.584838705782,0.115946620381
0.0,1,0.141566333343,11,0.00956474549214,0.290865485251,0.0
0.0,2,0.22566382472,12,0.0146448920119,0.0,0.242802484965
24.2158730159,5,0.606574392416,13,0.0295364561519,0.234984021209,0.493645325453
0.0,2,0.271593956716,14,0.0145359939979,0.584973668509,0.965451286175
0.0,2,0.271593956716,15,0.0145359939979,0.202365969962,0.855350110681
0.0,2,0.0633046079364,16,0.0167840054442,0.935880885644,0.0408783973085
0.0,2,0.247478785548,17,0.014558677209,0.26669502045,0.14560683196
0.0,2,0.271593956716,18,0.0145359939979,0.256944608491,0.936237700141
17.1468253968,3,0.396162244201,19,0.0196046363257,0.488042353895,0.441189688737
0.0,2,0.271593956716,20,0.0145359939979,0.472775490542,1.0
0.0,2,0.247478785548,21,0.014558677209,0.129721001619,0.165880975828
0.0,2,0.271593956716,22,0.0145359939979,0.362521996509,0.970555405098
9.3,5,0.402070860719,23,0.0315225147767,0.777487134003,0.770822235296
1.16666666667,3,0.152806701996,24,0.0210760335592,0.985020126807,0.538635838833
2.02777777778,3,0.158575971213,25,0.0210061973945,1.0,0.654102040246
0.0,2,0.202428516719,26,0.0150440380827,0.791635764647,0.953058575963
11.7920634921,4,0.357499230645,27,0.0256397674828,0.734741844692,0.633472182059
0.947619047619,3,0.351072971551,28,0.0195734594638,0.577699944333,0.606776418672
1.54285714286,4,0.361473014907,29,0.0262885376951,0.696000395634,0.877219608283
7.60952380952,4,0.468064811423,30,0.0245901552486,0.274700138625,0.646590175522
73.0095238095,6,0.511656486526,31,0.0371580870691,0.696320633123,0.551778015705
76.6904761905,12,0.826658857521,32,0.0716932260058,0.461851812611,0.798507736085
160.551587302,17,1.0,33,0.100919182333,0.482497838683,0.749587412386
